,titles
0,eventually make good on their promise
1,Extremely sub-par service
2,the service was excellent
3,I thoroughly enjoyed my flight
4,wouldn't let me check-in until 24 hours before
5,Will honestly never fly them again if I can help it
6,Very unprofessional for a renowned airline like BA
7,lounge was overcrowded and worn out
8,very uncomfortable trip
9,rate this just as a mediocre journey
10,baggage yet to be delivered after 5 weeks
11,misplaced our luggage during our wedding trip
12,zero faith in British Airways
13,under whelmed by the experience
14,about as abysmal as you can get
15,has returned to full service
16,this flight was quite good
17,no attempt to provide fresh or hot foo
18,A very positive experience
19,Baggage took 3/4 hour to be delivered
20,cabin crew were very pleasant and helpful
21,Very rude and unhelpful staff
22,cabin crew were very helping
23,All in all BA was just fine
24,recommend BA's new Club Class
25,Would recommend
26,"hit the  call button, no response for an hour"
27,"She was attentive, warm, friendly"
28,cramped single aisle aircraft
29,it was an OK experience
30,wait for cases at Heathrow T5
31,cabin crew are usually exceptional
32,I still found it underwhelming
33,At least the food tasted good
34,I will never travel BA again
35,Couldn’t fault anything
36,personnel was just magnificent
37,Should be more snacks on board
38,Crew were friendly
39,very short leg space
40,staff were no help and frankly rude
41,Flight was cancelled at the last minute
42,I have to write a positive review
43,review is for BA booking system
44,I will not be flying BA again
45,not been recompensed for our expenses
46,she went above and beyond
47,Hard working crew
48,Philippines Airlines require a 24 hr negative covid test
49,not worth the risk of travelling with BA
50,cancelled my return flight
51,staff were so friendly
52,amazing at her job
53,no food available for the 4 year old
54,We had a nice flight
55,2 suitcases lost in 2 flights
56,Some things just do not change at BA
57,I have not received my refund
58,has taken a nosedive in my opinion
59,A good flight overall
60,managed to lose my luggage
61,get us on a flight 5 days later
62,refund process is non responsive
63,Seat was very uncomfortable
64,let down by chaotic check-in and boarding
65,Crew were attentive and charming
66,become an absolute nightmare
67,wonderful BA representative
68,Overall a good flight
69,disappointed and angry
70,lack of practical assistance
71,they have no idea where our bags are
72,Limited TV and movie selections
73,seat reservation fees are non refundable
74,cabin crew seemed to really struggle with service
75,Overall not happy at all
76,do not allow free seat selection
77,Really not fair to just take our money!
78,Trying to call BA was a nightmare
79,flight was delayed over 6 hours
80,No respect with the customer!
81,"BA cancelled my flight, I never got on it"
82,think twice to take BA in the future
83,I guess BA has selected the lowest budget option
84,Good old times of being a glamour flying BA has far gone
85,food choice and quality was poor
86,BA standards continue to slip
87,Right now do not use British Airways
88,never use this company again
89,a fairly disappointing experience
90,Club Suite seats a huge improvement
91,had to hand in my hand luggage
92,BA are putting the 'economy' back in premium economy
93,no information where my luggage is
94,This airline is a complete disaster
95,the nicest crew I've ever had
96,she went above and beyond
97,crew made the flight outstanding
98,Overall it was a great flight
99,provide a hassle free flight to my son
100,finally agreed to refund my baggage charge
101,Crew were good but lacked the personal touch
102,do not recommend this airline
103,I will never use them again
104,they should be ashamed
105,economy style with an unsold middle seat
106,Amsterdam is the worst airport I have experienced
107,They actually give me a voucher
108,battling a long overdue refund
109,I will never fly with them again
110,one excuse after another with BA these days
111,Cancelled connection flight
112,no cabin divider in the aircraft
113,worth the extra money for Premium Economy
114,decline in customer service
115,I’m extremely frustrated
116,Staff very friendly and professional
117,upgrade had been given away to someone else
118,discrepancy with the baggage allowance
119,thank you for the great service
120,"food was first class, nothing was too much for the staff"
121,Overall a very pleasant trip
122,have lost all patience with this airline
123,BA have no intention of resolving this
124,absolutely shocking service
125,was a really bad experience
126,"lots of space and privacy, very good seat"
127,been an appalling experience
128,such terrible customer service
129,The service was very good
130,BA is becoming more and more shambolic
131,Shout out to the help desk at Heathrow
132,watched their decline with great sadness
133,disgraceful that a full fare paying passenger should be treated like this
134,Generally a positive experience
135,most terrible airline I’ve dealt with
136,caused our family extreme stress and disappointment
137,a virtually flawless experience
138,New Club Suites are amazing
139,Service was good but food not so
140,still no refunds 3 months on
141,old Club Class a huge disappointment
142,Spent an hour checking in
143,"Onboard 10/10, getting to be onboard 1/10"
144,Food and service appalling
145,stop nickel and diming
146,you can and need to do better than this
147,the limited food served was bland
148,Complete and utter chaos
149,There is no customer support
150,packed-like-sardines Club World product
151,I couldn’t check in online
152,flight to Antalya in May 2022 was cancelled
153,If I had the option I would not fly BA
154,The food was awful
155,really can’t believe they have the audacity to call this First Class
156,overall very medium experience
157,Ryanair has more finesse
158,never use BA again for a long haul flight
159,can't be reached on the phone
160,downgraded at airport check in
161,Absolutely shambolic customer service
162,worst customer service
163,First time using BA premium and likely my last
164,the most shambolic customer support
165,smacks of continued cost-cutting
166,continues to go downhill
167,this flight was excellent
168,scrapped the mandatory wearing of face masks
169,got it all wrong with 6 hours delay
170,could not rebook via BA’s website
171,T5 arrivals lounge was excellent
172,minimal leg room in economy
173,very disengaged management model
174,BA got everything right
175,Appalling customer service
176,cabin crews remain the best in the business
177,such a nice employee
178,think that BA are getting their mojo back again
179,Performance of the flight deck was up to its usual high standard
180,BA has a lot to do to regain its standing
181,Utterly appalling company
182,I said I wanted 20-25% back off my holiday
183,return trip was disappointing
184,staff was very kind and friendly
185,complete disregard for your passengers
186,decline into a sub-par service
187,very basic generic airline
188,doors cannot close till take off
189,sort ground service at Warsaw Airport
190,a pretty poor show by BA
191,seats are a huge improvement
192,they've yet to respond
193,Very nice return flight with BA
194,Overall a very lovely flight
195,the legroom was appalling
196,friendly and keen to please
197,Food and drinks choices and tastes amazing
198,BA hang your head in shame
199,just used the new Club World
200,waited for my bags for 3 hours
201,certainly make us avoid BA in future
202,I am still waiting for an answer
203,BA did nothing to ease the process
204,I don't even get an apology
205,"whole experience was stressful, costly"
206,British Airways had rebooked with Delta
207,British Airways happy to encourage the spread of Covid
208,was refused an early check in
209,The crew failed to work as a team
210,an OK experience with a great cabin crew
211,"Crew good, seats very uncomfortable"
212,my booked seat is not available
213,penny pinching by BA in club class
214,only just about recommend
215,They are so unorganized and slow!
216,Customer service is non existent
217,their customer service is a shambles
218,Poorly mismanaged services
219,Their customer service is a shambles
220,Good professional crew
221,Not dreadful but something for BA to think about
222,could not have asked for better service
223,BA at its best
224,boarding was chaos
225,This time it was good value
226,nothing bad about food but nothing great either
227,Who’d have thought BA could ever make Ryanair look like an attractive option
228,it was an absolute delight
229,plane was clean and air quality very good
230,Overall a very enjoyable flight
231,a clear case of BA mis-selling
232,voucher is valid for another two years
233,Check-in was longer than normal
234,Drinks and meal service was efficient
235,no response to my emails/messages
236,crew were so unorganised
237,impressed with their customer service
238,ordinary BA domestic flight
239,our national flag carrier is being comfortably out performed by budget airlines
240,got to the hotel and no dinner for us
241,Such indifference and lackadaisical attitude
242,Post-COVID lunch remains restricted
243,in the air great service
244,No check in staff for Economy
245,No refund for flights cancelled
246,I wasn't allocated a seat
247,stupidity of this whole situation
248,lost the connecting flight to Tirana
249,service on the same route is becoming worse
250,cancellation two weeks before I was due to travel
251,the most comfortable seats
252,value for money here is incredible
253,Food and drinks fine
254,"frustrated, upset and disappointed"
255,piled into the bus and left
256,On board staff were good
257,cancelled a flight booked three months ago 
258,decided to avoid BA from now on
259,very slick on board experience
260,Not complete return to old days
261,no refund issued yet
262,asking for upgrades to a best seat
263,didn't allow us to seat together
264,"uncomfortable, miserly experience "
265,Service was a little perfunctory
266,I am really grateful
267,"a thoroughly reassuring, coming out of COVID, experience"
268,going in circles to avoid issuing any voucher
269,Fantastic flight down to Heathrow
270,appreciated the COVID measures
271,COVID protocols are not as robust as they should be
272,I would need to call up to rebook
273,had my flight cancelled on 3 occasions
274,A poor show with BA
275,promised to give me compensation
276,Do not recommend to anyone in Covid restrictions
277,She was an amazing person
278,not what you'd expect from a premium product
279,Absolutely disgraceful
280,Good service the whole way
281,British Airways customer review
282,I do want to thank BA
283,passengers with masks below nose
284,happy with product and would use again
285,It's not at all child friendly
286,my experience with BA was very positive
287,refunded my tickets within 2 working days
288,Everything was nice except food
289,Everything I expected
290,told that the check-in had closed
291,I filed a claim
292,lack of social distancing
293,I was pleasantly surprised
294,have to call to redeem the voucher
295,Service is non-existent
296,BA has failed completely
297,This is appalling business practice!
298,"efficient, clean and punctual"
299, Total rip off
300,totally ripped off by BA
301,tickets should have been refunded
302,unable to offer a full refund
303,no refund or voucher
304,withholding my money
305,all about money with them
306,arrived 3 hrs 25 mins late
307,it definitely lived up to my expectations
308,cabin crew were friendly and professional
309,never use this airline again
310,avoid BA as much as possible
311,trying every trick in the book
312,stands out in many areas
313,laptop was left inside the flight
314,worst sort of management bureaucracy
315,poor customer service
316,lies and lack of informatio
317,understand the turmoil caused by Covid-19
318,A voucher is not sufficient
319,use the travel credit by May 2020
320,thank our crew in particular
321,such deceitful practices
322,not surprised they are in trouble
323,narrow business class facing seats
324,airline needs major overhaul
325,still forcing people to fly to Madrid
326,unfriendly and inconsiderate to me
327,live in a conceited bubble
328,rude staff and service
329,BA has really upped their game
330,friendly and helpful
331,Very happy with the service
332,"positive, friendly attitude"
333,"flights to Italy for March, all cancelled"
334,never use British Airways again
335,Food and drinks are expensive
336,the crew were outstanding
337,British Airways customer review
338,food is the standout problem
339,came to me to give me his pillow
340,service that needs training
341,packed out seating
342,require a transit visa
343,backward facing seats
344,I want a refund
345,crew was amazingly kind and lovely
346,a good experience with no major complaints
347,Arriving late to board
348,a pathetic premium cabin
349,fly this airline again
350,breakfast become rather perfunctory
351,very disappointing service
352,roller coaster of incompetence
353,SLOW lounge continues to impress
354,thank you for your service and kindness
355,more than acceptable service
356,only saving grace was a superb cabin staff
357,the service was good
358,refund for seat assignments
359,still consider other airlines
360,sleeping was quite impossible
361,Layout of Boeing 787 cabin is poor
362,luggage was not loaded
363,Everything went like clockwork
364,I would recommend BA
365,never fly BA again
366,need to move with the times
367,offer a kids free zone
368,Overall a good flight
369,a very comfortable flight
370,my husbands seat was broken
371,My food was bad
372,could not fault one aspect of the service
373,All in all great service
374,disappointed by the service
375,Crew very friendly
376,my food was inedible
377,staff were incredibly rude and lazy
378,job's worth high handed attitude
379,They have the worst customer service
380,BA product is now tired
381,no sandwiches left to purchase
382,another very good flight
383,don't provide free food and drink
384,way below expected service
385,onboard charity collection is inappropriate
386,staff were so friendly
387,comfort and service superb
388,good overall experience
389,cabin crew were very friendly
390,delayed by 20 mins
391,middle name was not on her ticket
392,charged 4 times for one bag
393,cabin manager did not greet me
394,no proof I paid for them
395,Awful airline
396, Flight is again delayed
397,This flight was a delight
398,we had to print out boarding passes
399,You get what you pay for
400,"Awful, rude airline"
401,Seats the same as economy
402,we had limited recline seats seats
403,Overall a good flight
404,crew are so friendly
405,excellent with service
406,cabin crew where fantastic
407,utter nightmares
408,the shortage of staff
409,lacks personalized attention
410,missed my connecting flight
411,said that I need to check my baggage
412,inflight service was distinctly average
413,delayed due to maintenance
414,cabin crew were so kind
415,Will never fly BA again
416,very disappointed with the service they provide
417,Surprisingly good flight
418,plane was old and cramped
419,Movie selection below average
420,What a disappointment of an airline
421,I begrudge flying with them
422,excellent premium host service
423,a remarkably bad experience
424,It used to be a good airline
425,left a great deal to be desired
426,Food was fairly good both ways
427,a very friendly and welcoming crew
428,Great service on this flight
429,"They were friendly, welcoming"
430,find an alternative airline
431,pleased with all aspects
432,still awaiting a refund
433,loved every minute of the flight
434,don’t trust BA with your loved ones
435,downgraded to premium economy
436,seems they were understaffed
437,offering an ultra low cost service
438,Food was fine and service friendly
439,Service was fantastic
440,check in counter was closed
441,no free food nor drink
442,we had an excellent flight
443,very happy with this short flight
444,Worst customer experience
445,three hours to get rebooking
446,an awesome experience
447,seat are surprisingly comfortable
448,clueless staff full of attitude
449,Extremely poor communication
450,The seat was uncomfortable
451,did not mention it was normal coffee
452,crew were very attentive
453,45 minutes before my bag came
454,comfortable seats
455,glorified budget airline
456,easily the most cramped space I have ever flown
457,Seats were uncomfortable
458,It’s almost like a low cost
459,Couldn’t ask for more
460,zero feeling of comfort
461,they were really good
462,cancelled and rescheduled
463,the experience was outstanding
464,first and definitely last time
465,appreciate your excellent service
466,one of the worst experiences
467,seats on the flight were comfortable
468,seats are incredibly uncomfortable
469,such a pleasant experience
470,Another pleasant flight
471,Better than I was expecting
472,zero customer service
473,there is no lounge at Kos
474,Club Europe had no advantages
475,Very enjoyable flight
476,No room to move
477,"staff wonderful. cheerful, efficient"
478,it was the most enjoyable flight
479,I never received the refund
480,"not too bad, all in all"
481,Delays after delays
482,a great flight
483,the value was very good
484,Abysmal customer services
485,no different to a budget airline
486,wanted to change our departure date
487,a nightmare
488,lacklustre at best
489,don’t know which airline is at fault
490,decline in the service level
491,suitcase was 4cm oversize
492,Full credit to the crew
493,What an awful plane
494,inflight service was top notch
495,Still recommended by me
496,a waste of money
497,welcome wasn’t especially friendly
498,been upgraded to Club World
499,standards on BA have plummeted
500,Good value flight
501,not worth the money
502,the food was horrendous
503,buyer beware
504,a waste of money
505,trip has been really smooth
506,she looked after me so well
507,feel worthless as a customer
508,asked them to cancel my ticket
509,"Overall, the journey was great"
510,you will not be able to get any help
511,They were beyond amazing!
512,flight was cancelled 3 days in a row
513,service was totally unacceptable
514,customer service is increasingly low cost in feel
515,crew were very helpful
516,Crew on board very friendly and helpful
517,crew were welcoming and informative
518,would do everything to never fly British Airways again
519,aircraft was narrow
520,Excellent customer service
521,There is enough legroom2
522,will try to avoid this airline
523,seats are aging and uncomfortable
524,the flight was very pleasant
525,A shambolic airline
526,Extremely disappointed trip
527,Utterly appalling
528,Very tired and disappointed
529,awful experience from beginning to end
530,a below average service
531,they managed to cut more costs
532,time for some heads to roll
533,Trip was basic
534,split all family quite far away apart
535,Staff  not in high standards
536,"pretty good, despite the delay"
537,due to the delay I had to miss it
538,made memorable by air hostess
539,seat is quite comfortable.
540,What a useless organisation
541,are staff preparing to go on strike
542,777 aircraft is looking old
543,Thank you so much!
544,"Noisy cabin, tiny screens"
545,worst business class experience
546,flight has improved my opinion on British Airways
547,seat comfort has been sacrificed
548,delayed by 3 hours
549,professional and very friendly
550,staff were helpful and friendly
551,sent to the wrong baggage drop
552,team was very friendly
553,The meal was inedible
554,no apologies from the staff
555,don’t waste your money on an overnight flight
556,Meal service had no choice
557,changed to late evening arrival
558,nothing left of business class
559,would not help compensate\2
560,flight dispatcher closed the flight
561,Complete confusion
562,I asked to be put in a hotel
563,Staff on both flights fine
564,last we saw of the crew for 4 hours
565,outstanding courtesy and service
566,last ever trip on BA
567,went above and beyond for me
568,delayed by over 3hrs
569,a positive experience
570,staff went above and beyond
571,10/10 for this flight
572,a very enjoyable trip
573,Outbound flight was fine
574,all in all decent flights
575,Terminal 5 is the most bizarre
